order_id,transaction_id,product_name,category,sub_category,quantity_ordered,unit_price,total_sales,cost,order_date,purchase_address,address_city,sales_channel,customer_segment,region,payment_type,delivery_time_days,sales_rep,data_quality_flag
1,T1,iPhone 13,Electronics,Phones,4,910.0,3640.0,2955.23,2023-01-21 06:57:00,"331 Street, São Paulo",São Paulo,In-Store,Small Business,Africa,Cash,5.0,Rep_D,
2,T2,Samsung Galaxy S21,Electronics,Phones,3,1735.0,5205.0,4105.7,2023-10-21 01:59:00,"460 Street, Nairobi",Nairobi,Wholesale,Consumer,South America,Cash,9.0,Rep_D,
3,T3,iPhone 13,Electronics,Phones,3,560.0,1680.0,1036.32,2023-09-28 14:50:00,"244 Street, Nairobi",Nairobi,In-Store,Small Business,Africa,Card,3.0,Rep_D,
4,T4,iPhone 13,Electronics,Phones,5,890.0,4450.0,3914.02,2023-11-12 13:49:00,"346 Street, Mumbai",Mumbai,Wholesale,Consumer,Africa,Cash,,Rep_A,
5,T5,Logitech Mouse,Electronics,Accessories,4,1528.0,6112.0,5092.99,2023-02-04 13:16:00,"872 Street, Bangkok",Bangkok,Wholesale,Corporate,Asia,Transfer,6.0,Rep_C,
7,T7,MacBook Air,Electronics,Laptops,4,1066.0,4264.0,3572.44,2023-08-25 17:46:00,"922 Street, Bangkok",Bangkok,Online,Corporate,Europe,Cash,9.0,Rep_C,
9,T9,MacBook Air,Electronics,Laptops,1,428.0,428.0,275.37,2023-02-10 06:08:00,"930 Street, Mumbai",Mumbai,Wholesale,Small Business,Africa,Card,,Rep_C,
10,T10,MacBook Air,Electronics,Laptops,5,148.0,740.0,451.32,2023-02-04 00:34:00,"462 Street, Cairo",Cairo,In-Store,Consumer,Asia,Transfer,5.0,Rep_A,
11,T11,Samsung Galaxy S21,Electronics,Phones,3,442.0,1326.0,721.82,2023-06-28 06:48:00,"96 Street, Nairobi",Nairobi,Wholesale,Corporate,Africa,Cash,5.0,Rep_D,
12,T12,Samsung Galaxy S21,Electronics,Phones,5,1728.0,8640.0,5110.73,2023-06-09 06:58:00,"796 Street, Bangkok",Bangkok,Wholesale,Small Business,Africa,Card,9.0,Rep_B,
13,T13,MacBook Air,Electronics,Laptops,4,1101.0,4404.0,2935.72,2023-11-27 22:27:00,"190 Street, Bangkok",Bangkok,In-Store,Corporate,Africa,Cash,9.0,Rep_B,
14,T14,Logitech Mouse,Electronics,Accessories,1,677.0,677.0,421.03,2023-07-17 07:26:00,"677 Street, Jakarta",Jakarta,Wholesale,Consumer,Africa,Transfer,8.0,Rep_A,
15,T15,iPhone 13,Electronics,Phones,1,1765.0,1765.0,1568.58,2023-02-21 11:38:00,"113 Street, Mumbai",Mumbai,In-Store,Consumer,South America,Cash,8.0,Rep_B,
16,T16,iPhone 13,Electronics,Phones,1,51.0,51.0,26.55,2023-08-12 00:00:00,"130 Street, Jakarta",Jakarta,In-Store,Corporate,Africa,Transfer,6.0,Rep_D,
17,T17,AirPods Pro,Electronics,Accessories,4,1512.0,6048.0,3598.89,2023-09-12 05:23:00,"610 Street, Jakarta",Jakarta,Wholesale,Consumer,Asia,Cash,1.0,Rep_A,
18,T18,MacBook Air,Electronics,Laptops,3,1399.0,4197.0,3539.51,2023-09-09 03:18:00,"511 Street, Lagos",Lagos,Online,Corporate,South America,Cash,7.0,Rep_C,
19,T19,MacBook Air,Electronics,Laptops,1,1713.0,1713.0,1430.5,2023-09-24 17:22:00,"298 Street, Lagos",Lagos,Wholesale,Consumer,Africa,Card,9.0,Rep_D,
20,T20,Logitech Mouse,Electronics,Accessories,1,51.0,51.0,45.19,2023-02-06 22:08:00,"659 Street, Jakarta",Jakarta,In-Store,Consumer,Africa,Card,3.0,Rep_C,
21,T21,Dell XPS 13,Electronics,Laptops,1,1993.0,1993.0,1742.39,2023-04-14 19:34:00,"473 Street, Bangkok",Bangkok,Online,Consumer,Europe,Transfer,2.0,Rep_C,
22,T22,27in 4K Gaming Monitor,Electronics,Monitors,2,1779.0,3558.0,2706.87,2023-06-18 03:32:00,"398 Street, Bangkok",Bangkok,Online,Small Business,Africa,Card,4.0,Rep_D,
23,T23,iPhone 13,Electronics,Phones,3,450.0,1350.0,967.97,2023-01-22 13:29:00,"365 Street, Bangkok",Bangkok,Wholesale,Consumer,Africa,Transfer,8.0,Rep_A,
24,T24,AirPods Pro,Electronics,Accessories,2,1350.0,2700.0,1973.06,2023-11-13 15:18:00,"192 Street, Jakarta",Jakarta,In-Store,Consumer,Asia,Card,1.0,Rep_C,
25,T25,Samsung Galaxy S21,Electronics,Phones,5,1119.0,5595.0,3625.92,2023-08-21 04:23:00,"302 Street, Mumbai",Mumbai,Wholesale,Small Business,Asia,Cash,3.0,Rep_D,
26,T26,Samsung Galaxy S21,Electronics,Phones,4,240.0,960.0,553.31,2023-06-10 02:17:00,"735 Street, Nairobi",Nairobi,Online,Corporate,Europe,Cash,3.0,Rep_B,
27,T27,MacBook Air,Electronics,Laptops,2,1361.0,2722.0,1751.49,2023-05-07 09:01:00,"104 Street, Bangkok",Bangkok,In-Store,Small Business,Asia,Cash,6.0,Rep_B,
28,T28,AirPods Pro,Electronics,Accessories,5,1755.0,8775.0,7231.0,2023-01-13 06:56:00,"20 Street, Mumbai",Mumbai,In-Store,Small Business,South America,Transfer,3.0,Rep_B,
29,T29,AirPods Pro,Electronics,Accessories,4,1427.0,5708.0,4174.33,2023-12-08 18:24:00,"190 Street, São Paulo",São Paulo,Online,Small Business,Asia,Card,6.0,Rep_D,
